Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.994141,459.632778,0.007000,7
617.500000,769.042969,0.007000,7
593.730469,1168.212509,0.007000,7
567.719727,1444.653869,0.008000,8
537.568359,1710.688686,0.018000,18
506.704102,2001.099944,0.007000,7
470.527344,2334.194565,0.008000,8
435.732422,2550.147152,0.006000,6
398.608398,2471.256804,0.007000,7
362.929688,2493.467712,0.006000,6
329.287109,2523.710537,0.006000,6
297.021484,2582.534695,0.007000,7
266.835938,2719.285583,0.009000,9
233.969727,2884.778380,0.006000,6
202.446289,2610.666060,0.005000,5
174.062500,2550.195312,0.005000,5
174.062500,2550.195312,0.005000,5
String tested,Total calculation time(milis)
fuvsirPdjYDae,145
