Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
587.670898,364.643645,0.007000,7
573.242188,628.550720,0.008000,8
553.383789,931.372237,0.007000,7
526.923828,1237.021542,0.008000,8
499.443359,1591.096401,0.007000,7
468.369141,1754.566860,0.006000,6
436.791992,1867.589545,0.006000,6
406.840820,2040.263724,0.006000,6
376.293945,2132.798362,0.006000,6
345.634766,2288.464260,0.006000,6
313.393555,2385.114646,0.005000,5
279.985352,2436.376739,0.006000,6
249.511719,2596.441269,0.006000,6
219.980469,2541.405869,0.005000,5
190.810547,2613.014889,0.005000,5
164.389648,2867.986846,0.004000,4
164.389648,2867.986846,0.004000,4
String tested,Total calculation time(milis)
Hello world!,129
