Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.587891,436.759853,0.010000,10
667.158203,682.939816,0.010000,10
646.000977,979.759765,0.008000,8
620.283203,1227.458858,0.009000,9
592.719727,1572.046447,0.008000,8
560.986328,1895.609188,0.007000,7
526.889648,2176.897979,0.008000,8
493.496094,2393.050766,0.007000,7
458.491211,2513.202071,0.008000,8
422.265625,2445.257568,0.008000,8
387.592773,2514.566588,0.007000,7
353.500977,2401.366210,0.008000,8
322.128906,2341.561508,0.006000,6
291.240234,2296.606350,0.006000,6
263.012695,2287.163901,0.005000,5
237.109375,2452.679443,0.006000,6
210.541992,2471.337104,0.005000,5
182.514648,2317.846465,0.005000,5
182.514648,2317.846465,0.005000,5
String tested,Total calculation time(milis)
tNqgrmsvaBjKox,164
