Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
288.244629,3236.311739,0.005000,5
245.144531,2210.759384,0.004000,4
212.437012,1879.980407,0.004000,4
184.513184,1590.869943,0.003000,3
161.710449,1394.618797,0.009000,9
142.034180,1285.531058,0.003000,3
124.154785,1133.862272,0.004000,4
110.976074,1181.218666,0.004000,4
96.803711,1033.744674,0.004000,4
85.252441,937.160394,0.005000,5
74.836914,887.139419,0.004000,4
67.390625,861.094482,0.005000,5
60.906250,841.398438,0.004000,4
54.083496,810.172228,0.004000,4
49.594238,775.672760,0.004000,4
45.413086,760.926040,0.006000,6
43.462891,860.751553,0.005000,5
39.331055,720.498801,0.003000,3
37.312988,800.361511,0.006000,6
34.778320,733.024100,0.004000,4
32.003906,692.343735,0.004000,4
31.945801,767.715324,0.005000,5
29.897461,765.998275,0.004000,4
28.852051,723.251060,0.005000,5
28.822754,850.279619,0.006000,6
27.094727,789.983214,0.004000,4
25.323242,747.666999,0.004000,4
24.448730,777.636043,0.005000,5
25.239258,858.797248,0.004000,4
23.141113,777.302841,0.004000,4
22.688477,800.072875,0.005000,5
22.308594,799.452621,0.004000,4
22.308594,799.452621,0.004000,4
String tested,Total calculation time(milis)
wBGDMlOfVTJ,206
