Averaged Fitness Value,Standard Deviation value,calculation time(milis)
682.807617,432.791114,8
667.055664,684.153152,8
645.068359,970.405483,9
619.360352,1214.385772,10
591.225586,1402.843642,6
564.140625,1588.031006,8
534.360352,1796.856475,7
504.003906,2166.195297,8
471.279297,2283.910275,8
437.319336,2499.503493,8
401.645508,2774.196601,7
365.175781,2680.828476,5
330.917969,2722.399521,7
298.149414,2911.272597,7
265.546875,3036.029053,5
231.884766,2898.986721,6
199.790039,3048.539901,5
169.399414,2895.684218,8
169.399414,2895.684218,8
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,146
